//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/Library/PrivateFrameworks/SharedWebCredentials.framework/Versions/A/SharedWebCredentials
// arch:    arm64e
// uuid:    CBF4DB42-28FB-37B8-A82C-23CC61910540
// text:    0x0000000191b8b000
// count:   844 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000191b8c1f0  0x000006f0  __TEXT,__text  objc  -[_SWCPattern initWithDictionary:defaults:]  // -[_SWCPattern 'E12]
0x0000000191b8c8e0  0x00000168  __TEXT,__text  objc  -[_SWCPattern initWithPathPattern:defaults:]  // -[_SWCPattern ?]
0x0000000191b8ca48  0x00000058  __TEXT,__text  objc  -[_SWCPattern dealloc]  // -[_SWCPattern ?]
0x0000000191b8caa0  0x0000002c  __TEXT,__text  objc  -[_SWCPattern isBlocking]  // -[_SWCPattern ?]
0x0000000191b8cacc  0x00000028  __TEXT,__text  objc  -[_SWCPattern isCaseSensitive]  // -[_SWCPattern ?]
0x0000000191b8caf4  0x00000028  __TEXT,__text  objc  -[_SWCPattern isPercentEncoded]  // -[_SWCPattern ?]
0x0000000191b8cb1c  0x000000f4  __TEXT,__text  objc  -[_SWCPattern requiredEntitlement]  // -[_SWCPattern ?]
0x0000000191b8cc10  0x000000d8  __TEXT,__text  objc  -[_SWCPattern evaluateWithURLComponents:substitutionVariables:auditToken:]  // -[_SWCPattern ?]
0x0000000191b8cce8  0x000007c0  __TEXT,__text  cxx  __ZNK17SWCPatternStorage8evaluateEP15NSURLComponentsPK10SWCFNMatchPK13audit_token_t  // SWCPatternStorage::evaluate(NSURLComponents*, SWCFNMatch const*, audit_token_t const*) const
0x0000000191b8d4a8  0x00000054  __TEXT,__text  objc  -[_SWCPattern _initWithPatternStorageNoCopy:freeWhenDone:]  // -[_SWCPattern (]
0x0000000191b8d4fc  0x000000c4  __TEXT,__text  objc  -[_SWCPattern isEqual:]  // -[_SWCPattern ?]
0x0000000191b8d5c0  0x0000009c  __TEXT,__text  cxx  __ZNK17SWCPatternStorage7getSizeEv  // SWCPatternStorage::getSize() const
0x0000000191b8d65c  0x00000050  __TEXT,__text  objc  -[_SWCPattern hash]  // -[_SWCPattern ?]
0x0000000191b8d6ac  0x00000054  __TEXT,__text  objc  -[_SWCPattern description]  // -[_SWCPattern ?]
0x0000000191b8d700  0x00000054  __TEXT,__text  objc  -[_SWCPattern debugDescription]  // -[_SWCPattern ?]
0x0000000191b8d754  0x00000054  __TEXT,__text  objc  -[_SWCPattern redactedDescription]  // -[_SWCPattern ?]
0x0000000191b8d7a8  0x00000008  __TEXT,__text  objc  -[_SWCPattern storage]  // -[_SWCPattern ?]
0x0000000191b8d7b0  0x00000008  __TEXT,__text  objc  -[_SWCPattern setStorage:]  // -[_SWCPattern  ]
0x0000000191b8d7b8  0x0000000c  __TEXT,__text  objc  +[_SWCPatternList patternListWithDetailsDictionary:]  // +[_SWCPatternList ?]
0x0000000191b8d7c4  0x00000478  __TEXT,__text  objc  +[_SWCPatternList patternListWithDetailsDictionary:defaults:]  // +[_SWCPatternList B]
0x0000000191b8dc3c  0x0000027c  __TEXT,__text  objc  +[_SWCPatternList patternListWithArray:]  // +[_SWCPatternList ?]
0x0000000191b8deb8  0x00000064  __TEXT,__text  objc  -[_SWCPatternList count]  // -[_SWCPatternList ?]
0x0000000191b8df1c  0x000000ec  __TEXT,__text  objc  -[_SWCPatternList enumeratePatternsWithBlock:]  // -[_SWCPatternList credentials cache]
0x0000000191b8e008  0x00000160  __TEXT,__text  objc  -[_SWCPatternList evaluateWithURLComponents:substitutionVariables:auditToken:matchingPattern:index:]  // -[_SWCPatternList ?]
0x0000000191b8e168  0x00000188  __TEXT,__text  objc  -[_SWCPatternList _descriptionDebug:redacted:]  // -[_SWCPatternList ]
0x0000000191b8e2f0  0x00000108  __TEXT,__text  objc  -[_SWCPatternList isEqual:]  // -[_SWCPatternList ?]
0x0000000191b8e3f8  0x00000074  __TEXT,__text  objc  -[_SWCPatternList hash]  // -[_SWCPatternList ?]
0x0000000191b8e46c  0x0000000c  __TEXT,__text  objc  -[_SWCPatternList description]  // -[_SWCPatternList ?]
0x0000000191b8e478  0x0000000c  __TEXT,__text  objc  -[_SWCPatternList debugDescription]  // -[_SWCPatternList ?]
0x0000000191b8e484  0x0000000c  __TEXT,__text  objc  -[_SWCPatternList redactedDescription]  // -[_SWCPatternList s]
0x0000000191b8e490  0x00000008  __TEXT,__text  objc  +[_SWCPatternList supportsSecureCoding]  // +[_SWCPatternList ?]
0x0000000191b8e498  0x0000015c  __TEXT,__text  objc  -[_SWCPatternList encodeWithCoder:]  // -[_SWCPatternList eworks/SystemStatus.framework/Contents/MacOS/SystemStatus]
0x0000000191b8e5f4  0x000005b0  __TEXT,__text  objc  -[_SWCPatternList initWithCoder:]  // -[_SWCPatternList ?]
0x0000000191b8eba4  0x000000b4  __TEXT,__text  objc  +[_SWCSubstitutionVariableList cheapBuiltInSubstitutionVariableList]  // +[_SWCSubstitutionVariableList ]
0x0000000191b8ec58  0x00000288  __TEXT,__text  func  __68+[_SWCSubstitutionVariableList cheapBuiltInSubstitutionVariableList]_block_invoke
0x0000000191b8eee0  0x00000064  __TEXT,__text  cxx  __ZNK23SWCSubstitutionVariable7getSizeEv  // SWCSubstitutionVariable::getSize() const
0x0000000191b8ef44  0x000000b4  __TEXT,__text  objc  +[_SWCSubstitutionVariableList expensiveBuiltInSubstitutionVariableList]  // +[_SWCSubstitutionVariableList ?]
0x0000000191b8eff8  0x0000045c  __TEXT,__text  func  __72+[_SWCSubstitutionVariableList expensiveBuiltInSubstitutionVariableList]_block_invoke
0x0000000191b8f454  0x0000020c  __TEXT,__text  objc  +[_SWCSubstitutionVariableList substitutionVariableListWithDictionary:]  // +[_SWCSubstitutionVariableList ?]
0x0000000191b8f660  0x00000580  __TEXT,__text  func  __71+[_SWCSubstitutionVariableList substitutionVariableListWithDictionary:]_block_invoke
0x0000000191b8fbe0  0x00000008  __TEXT,__text  func  __copy_helper_block_ea8_32s
0x0000000191b8fbe8  0x00000008  __TEXT,__text  func  __destroy_helper_block_ea8_32s
0x0000000191b8fbf0  0x00000050  __TEXT,__text  objc  -[_SWCSubstitutionVariableList count]  // -[_SWCSubstitutionVariableList ?]
0x0000000191b8fc40  0x000000fc  __TEXT,__text  objc  -[_SWCSubstitutionVariableList enumerateSubstitutionVariablesWithBlock:]  // -[_SWCSubstitutionVariableList ?]
0x0000000191b8fd3c  0x000002e8  __TEXT,__text  objc  -[_SWCSubstitutionVariableList _descriptionDebug:redacted:]  // -[_SWCSubstitutionVariableList ?]
0x0000000191b90024  0x000000e8  __TEXT,__text  objc  -[_SWCSubstitutionVariableList isEqual:]  // -[_SWCSubstitutionVariableList ]
0x0000000191b9010c  0x00000068  __TEXT,__text  objc  -[_SWCSubstitutionVariableList hash]  // -[_SWCSubstitutionVariableList ?]
0x0000000191b90174  0x0000000c  __TEXT,__text  objc  -[_SWCSubstitutionVariableList description]  // -[_SWCSubstitutionVariableList ?]
0x0000000191b90180  0x0000000c  __TEXT,__text  objc  -[_SWCSubstitutionVariableList debugDescription]  // -[_SWCSubstitutionVariableList ?]
0x0000000191b9018c  0x0000000c  __TEXT,__text  objc  -[_SWCSubstitutionVariableList redactedDescription]  // -[_SWCSubstitutionVariableList ?]
